pair	order	baseline_seconds	candidate_seconds	baseline_tok_s	candidate_tok_s	baseline_alloc_bytes	candidate_alloc_bytes	baseline_allocs	candidate_allocs	baseline_digest	candidate_digest
0	baseline-candidate	1.875528584	1.926999791	34.124	33.212	173685376	173740200	246360	246351	ea3df5516f17df83	ea3df5516f17df83
1	candidate-baseline	1.848670916	1.905773834	34.619	33.582	173691640	173726480	246357	246360	ea3df5516f17df83	ea3df5516f17df83
2	baseline-candidate	1.938393667	1.773386292	33.017	36.089	173692008	173696544	246356	246360	ea3df5516f17df83	ea3df5516f17df83
3	candidate-baseline	1.840797083	1.712157666	34.768	37.380	173695944	173718680	246358	246395	ea3df5516f17df83	ea3df5516f17df83
4	baseline-candidate	1.807597750	1.763741666	35.406	36.286	173691296	173735232	246374	246361	ea3df5516f17df83	ea3df5516f17df83
