campaign	order	baseline_seconds	candidate_seconds	baseline_tok_s	candidate_tok_s	baseline_alloc_bytes	candidate_alloc_bytes	baseline_allocs	candidate_allocs	baseline_digest	candidate_digest	retained
0	baseline-candidate	1.794082500	1.765946167	35.673	36.241	173684032	173707208	246329	246331	ea3df5516f17df83	ea3df5516f17df83	false
1	candidate-baseline	1.784304625	1.651624542	35.868	38.750	173689344	173693752	246340	246343	ea3df5516f17df83	ea3df5516f17df83	true
2	baseline-candidate	1.991175209	1.729338583	32.142	37.008	173682640	173686464	246326	246334	ea3df5516f17df83	ea3df5516f17df83	true
3	candidate-baseline	1.788325125	1.648352667	35.788	38.827	173703744	173694928	246367	246353	ea3df5516f17df83	ea3df5516f17df83	true
4	baseline-candidate	1.791230000	1.686543958	35.730	37.947	173686928	173721456	246335	246365	ea3df5516f17df83	ea3df5516f17df83	true
5	candidate-baseline	1.792329292	1.647998167	35.708	38.835	173691704	173683840	246331	246334	ea3df5516f17df83	ea3df5516f17df83	true
6	baseline-candidate	1.778832875	1.648332916	35.979	38.827	173711256	173726336	246343	246344	ea3df5516f17df83	ea3df5516f17df83	true
7	candidate-baseline	1.773133666	1.728644667	36.094	37.023	173684880	173685376	246341	246342	ea3df5516f17df83	ea3df5516f17df83	true
