campaign,pair,phase,arm,case,iterations,ns_per_op,bytes_per_op,allocs_per_op
confirmation-01,3,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,804,2800534,3382409,18
confirmation-01,3,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,219,9797224,9426800,18
confirmation-01,3,measured,candidate,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,644,3818277,3147144,18
confirmation-01,3,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,18790,127761,66951,16
confirmation-01,3,measured,candidate,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,1600,1308272,1689566,39
confirmation-01,3,measured,baseline,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,3217,691277,1097529,10
confirmation-01,3,measured,candidate,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,3458,686297,1077937,10
confirmation-01,3,measured,baseline,BenchmarkCPUGPTTrainingStep/direct-12,37,61032798,379357867,2742
confirmation-01,3,measured,candidate,BenchmarkCPUGPTTrainingStep/direct-12,36,61747939,387415029,2753
confirmation-01,4,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,6276,332911,853266,18
confirmation-01,4,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,2376,861881,1597614,18
confirmation-01,4,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,751,3391344,3400278,18
confirmation-01,4,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,178,13805719,9406759,18
confirmation-01,4,measured,baseline,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,598,4217994,3167802,18
confirmation-01,4,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,17487,127131,66981,16
confirmation-01,4,measured,baseline,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,1296,1904222,1697124,39
confirmation-01,4,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,4856,480560,845161,18
confirmation-01,4,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,2374,912494,1638233,18
confirmation-01,4,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,716,3213220,3493703,18
confirmation-01,4,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,213,10100435,6607942,18
confirmation-01,4,measured,candidate,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,652,3786037,3161266,18
confirmation-01,4,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,18724,127567,66972,16
confirmation-01,4,measured,candidate,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,1551,1730434,1671599,39
confirmation-01,4,measured,baseline,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,3543,665226,1100080,10
confirmation-01,4,measured,candidate,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,3520,679801,1102938,10
confirmation-01,4,measured,baseline,BenchmarkCPUGPTTrainingStep/direct-12,32,63580208,387805709,2749
confirmation-01,4,measured,candidate,BenchmarkCPUGPTTrainingStep/direct-12,31,64556171,387948399,2748
confirmation-01,5,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,6441,337068,847104,18
confirmation-01,5,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,2412,867915,1654410,18
confirmation-01,5,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,769,2992587,3377606,18
confirmation-01,5,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,210,11554169,9655982,18
confirmation-01,5,measured,baseline,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,652,3745503,3147144,18
confirmation-01,5,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,18640,122723,67010,16
confirmation-01,5,measured,baseline,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,1482,1931693,1719026,39
confirmation-01,5,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,6170,340818,852533,18
confirmation-01,5,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,2653,786768,1622405,18
confirmation-01,5,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,918,2463964,3355660,18
confirmation-01,5,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,241,9988631,9023241,18
confirmation-01,5,measured,candidate,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,594,3816183,3147144,18
confirmation-01,5,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,18649,127840,66963,16
confirmation-01,5,measured,candidate,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,1645,1293270,1727155,40
confirmation-01,5,measured,baseline,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,3356,659301,1102960,10
confirmation-01,5,measured,candidate,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,3531,657518,1081746,10
confirmation-01,5,measured,baseline,BenchmarkCPUGPTTrainingStep/direct-12,36,58768495,377022088,2741
confirmation-01,5,measured,candidate,BenchmarkCPUGPTTrainingStep/direct-12,37,57718595,383102895,2747
confirmation-01,6,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,6198,330697,855558,18
confirmation-01,6,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,2335,897937,1632635,18
confirmation-01,6,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,710,3120683,3436725,18
confirmation-01,6,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,211,11339078,8678258,18
confirmation-01,6,measured,baseline,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,652,3726889,3147144,18
confirmation-01,6,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,18787,127802,66955,16
confirmation-01,6,measured,baseline,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,1687,1308367,1717011,39
confirmation-01,6,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,7176,336190,850546,18
confirmation-01,6,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,2667,787617,1603403,18
confirmation-01,6,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,867,2503479,3368904,18
confirmation-01,6,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,266,8972753,8311198,18
confirmation-01,6,measured,candidate,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,669,3739437,3147144,18
confirmation-01,6,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,18715,127880,66999,16
confirmation-01,6,measured,candidate,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,1657,1539316,1702758,39
confirmation-01,6,measured,baseline,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,3208,681251,1098084,10
confirmation-01,6,measured,candidate,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,3474,648133,1078748,10
confirmation-01,6,measured,baseline,BenchmarkCPUGPTTrainingStep/direct-12,38,61440258,386187243,2749
confirmation-01,6,measured,candidate,BenchmarkCPUGPTTrainingStep/direct-12,24,85663752,393350194,2754
confirmation-01,7,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,6343,343017,854125,18
confirmation-01,7,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,2470,906123,1617081,18
confirmation-01,7,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,715,3099367,3424572,18
confirmation-01,7,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,204,11541344,8634339,18
confirmation-01,7,measured,baseline,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,644,3779472,3147145,18
confirmation-01,7,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,18579,125076,66973,16
confirmation-01,7,measured,baseline,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,1689,1695751,1703204,39
confirmation-01,7,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,4983,445786,851487,18
confirmation-01,7,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,2308,909986,1667919,18
confirmation-01,7,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,902,2452492,3300357,18
confirmation-01,7,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,267,9129698,8554983,18
confirmation-01,7,measured,candidate,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,667,3879261,3147144,18
confirmation-01,7,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,18351,128453,66987,16
confirmation-01,7,measured,candidate,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,1623,1303977,1711487,39
confirmation-01,7,measured,baseline,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,3471,653598,1083851,10
confirmation-01,7,measured,candidate,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,3505,646473,1075637,10
confirmation-01,7,measured,baseline,BenchmarkCPUGPTTrainingStep/direct-12,37,59017108,380304171,2744
confirmation-01,7,measured,candidate,BenchmarkCPUGPTTrainingStep/direct-12,37,58279524,394385984,2760
