campaign,pair,phase,arm,case,iterations,ns_per_op,bytes_per_op,allocs_per_op
pilot-02,2,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,4628,129263,67123,16
pilot-02,2,measured,baseline,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,436,1247345,1818928,40
pilot-02,2,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,1510,337441,865162,18
pilot-02,2,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,651,790405,1662010,18
pilot-02,2,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,223,2512238,3777248,18
pilot-02,2,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,68,9359585,29238783,19
pilot-02,2,measured,candidate,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,163,3625131,3198608,18
pilot-02,2,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,4693,123141,67153,16
pilot-02,2,measured,candidate,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,320,1775818,1788583,40
pilot-02,2,measured,baseline,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,808,706236,1090981,10
pilot-02,2,measured,candidate,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,802,689908,1089775,10
pilot-02,2,measured,baseline,BenchmarkCPUGPTTrainingStep/direct-12,36,60138834,390856496,2753
pilot-02,2,measured,candidate,BenchmarkCPUGPTTrainingStep/direct-12,38,59932264,386188620,2749
pilot-02,3,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,1555,332902,848807,18
pilot-02,3,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,598,873168,1690761,18
pilot-02,3,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,189,3109263,4000347,18
pilot-02,3,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,51,11172190,28745461,19
pilot-02,3,measured,baseline,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,164,3620467,3198294,18
pilot-02,3,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,4573,129857,67180,16
pilot-02,3,measured,baseline,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,432,1274732,1874437,40
pilot-02,3,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,1534,332933,853591,18
pilot-02,3,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,651,796323,1720808,18
pilot-02,3,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,226,2504495,3806001,18
pilot-02,3,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,68,9237610,30017507,19
pilot-02,3,measured,candidate,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,164,3670756,3147144,18
pilot-02,3,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,4614,125321,67069,16
pilot-02,3,measured,candidate,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,424,1363700,1815364,40
pilot-02,3,measured,baseline,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,867,647890,1059823,10
pilot-02,3,measured,candidate,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,882,647671,1077258,10
pilot-02,3,measured,baseline,BenchmarkCPUGPTTrainingStep/direct-12,37,58602044,366402584,2730
pilot-02,3,measured,candidate,BenchmarkCPUGPTTrainingStep/direct-12,37,57796516,384188929,2747
pilot-02,4,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,1554,331081,853633,18
pilot-02,4,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,608,879362,1717149,18
pilot-02,4,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,188,3125418,3960267,18
pilot-02,4,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,52,11206871,29795799,19
pilot-02,4,measured,baseline,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,164,3633249,3147144,18
pilot-02,4,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,4659,128442,67203,16
pilot-02,4,measured,baseline,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,433,1278785,1747778,40
pilot-02,4,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,1566,332434,849507,18
pilot-02,4,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,650,806695,1708171,18
pilot-02,4,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s512_h8_kv8_d64/direct-12,228,2542829,3653054,18
pilot-02,4,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_s1024_h8_kv8_d64/direct-12,67,9237467,28509698,19
pilot-02,4,measured,candidate,BenchmarkCPUAttentionBackward/f32_noncausal_s512_h8_kv8_d64/direct-12,164,3674623,3147144,18
pilot-02,4,measured,candidate,BenchmarkCPUAttentionBackward/f32_causal_gqa_s128_h4_kv2_d16/direct-12,4645,129428,67112,16
pilot-02,4,measured,candidate,BenchmarkCPUAttentionBackward/f64_causal_s128_h8_kv8_d64/direct-12,433,1254137,1805925,40
pilot-02,4,measured,baseline,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,874,654879,1114731,10
pilot-02,4,measured,candidate,BenchmarkCPUAttentionForward/f32_causal_s512_h8_kv8_d64/control-12,866,648250,1089316,10
pilot-02,4,measured,baseline,BenchmarkCPUGPTTrainingStep/direct-12,37,61060440,377013013,2741
pilot-02,4,measured,candidate,BenchmarkCPUGPTTrainingStep/direct-12,37,58464042,383734751,2746
pilot-02,5,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s128_h8_kv8_d64/direct-12,1542,339485,854567,18
pilot-02,5,measured,baseline,BenchmarkCPUAttentionBackward/f32_causal_s256_h8_kv8_d64/direct-12,606,874784,1673555,18
