BenchmarkDequantIQ3_XXS-12            	    2433	    229710 ns/op	 436.86 MB/s	 1048805 B/op	       3 allocs/op
BenchmarkDequantIQ3_XXS-12            	    2679	    231350 ns/op	 433.77 MB/s	 1048804 B/op	       3 allocs/op
BenchmarkDequantIQ3_XXS-12            	    2515	    229966 ns/op	 436.38 MB/s	 1048802 B/op	       3 allocs/op
BenchmarkDequantIQ3_XXS-12            	    2520	    233006 ns/op	 430.68 MB/s	 1048804 B/op	       3 allocs/op
BenchmarkDequantIQ3_XXS-12            	    2608	    234870 ns/op	 427.27 MB/s	 1048806 B/op	       3 allocs/op
BenchmarkDequantIQ3_XXS-12            	    2482	    236890 ns/op	 423.62 MB/s	 1048803 B/op	       3 allocs/op
BenchmarkDequantIQ3_XXS-12            	    2506	    231409 ns/op	 433.66 MB/s	 1048803 B/op	       3 allocs/op
BenchmarkDequantIQ3_XXS-12            	    2679	    235199 ns/op	 426.67 MB/s	 1048804 B/op	       3 allocs/op
BenchmarkDequantIQ3_XXS-12            	    2407	    238001 ns/op	 421.64 MB/s	 1048802 B/op	       3 allocs/op
BenchmarkDequantIQ3_XXS-12            	    2520	    231323 ns/op	 433.82 MB/s	 1048806 B/op	       3 allocs/op
