round	goai_tg64_tok_s	goai_pp64_tok_s	llamacpp_tg64_tok_s	llamacpp_pp64_tok_s	llamacpp_over_goai_tg	llamacpp_over_goai_pp
1	178.7	1621.2	186.746358	1771.771423	1.0450272	1.0928765
2	176.8	1606.7	191.857498	1736.211194	1.0851668	1.0806070
3	176.8	1592.4	196.644321	1772.319281	1.1122416	1.1129862
4	178.5	1563.5	193.311717	1754.606397	1.0829788	1.1222299
5	178.5	1580.2	196.033186	1770.109320	1.0982251	1.1201806
median	178.5	1592.4	193.311717	1770.109320	1.0829790	1.1115980
