M	separate_median_ms	grouped_median_ms	speedup	separate_samples_ms	grouped_samples_ms	result
64	4.055771	2.333854	1.7378	4.028250,4.036167,4.047333,4.049916,4.055250,4.056292,4.059167,4.063167,4.064500,4.075542	2.329250,2.331000,2.331000,2.332792,2.332875,2.334833,2.338834,2.340792,2.341250,2.608125	pass
512	13.752271	11.274021	1.2198	13.623875,13.647417,13.725625,13.732959,13.747792,13.756750,13.792875,13.881250,13.907875,14.833125	11.250750,11.252375,11.255458,11.262417,11.269292,11.278750,11.283750,11.285875,11.331209,11.859500	pass
