revision,campaign,pair,phase,arm,case,iterations,ns_per_op,bytes_per_op,allocs_per_op
candidate1,1,5,measured,candidate,BenchmarkGemmAMXGeneration/m32_k64_n32-12,256048,2402,288,4
candidate1,1,5,measured,candidate,BenchmarkGemmAMXGeneration/m64_k64_n64-12,95330,6519,288,4
candidate1,1,5,measured,candidate,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9350,60190,288,4
candidate1,1,5,measured,candidate,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,638,943941,291,4
candidate1,1,5,measured,candidate,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5474390,307,4
candidate1,1,5,measured,baseline,BenchmarkGemmAMXGeneration/m32_k64_n32-12,263125,2316,272,4
candidate1,1,5,measured,baseline,BenchmarkGemmAMXGeneration/m64_k64_n64-12,96626,6404,272,4
candidate1,1,5,measured,baseline,BenchmarkGemmAMXGeneration/m256_k256_n256-12,10000,62855,273,4
candidate1,1,5,measured,baseline,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,612,1065234,275,4
candidate1,1,5,measured,baseline,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5101448,291,4
candidate1,1,6,measured,baseline,BenchmarkGemmAMXGeneration/m32_k64_n32-12,253953,2358,272,4
candidate1,1,6,measured,baseline,BenchmarkGemmAMXGeneration/m64_k64_n64-12,78555,7104,272,4
candidate1,1,6,measured,baseline,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9630,60532,273,4
candidate1,1,6,measured,baseline,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,632,976724,275,4
candidate1,1,6,measured,baseline,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,123,4885211,288,4
candidate1,1,6,measured,candidate,BenchmarkGemmAMXGeneration/m32_k64_n32-12,258034,2335,288,4
candidate1,1,6,measured,candidate,BenchmarkGemmAMXGeneration/m64_k64_n64-12,96278,6432,288,4
candidate1,1,6,measured,candidate,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9687,60496,288,4
candidate1,1,6,measured,candidate,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,632,1003747,291,4
candidate1,1,6,measured,candidate,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5219841,308,4
candidate1,1,7,measured,candidate,BenchmarkGemmAMXGeneration/m32_k64_n32-12,261577,2319,288,4
candidate1,1,7,measured,candidate,BenchmarkGemmAMXGeneration/m64_k64_n64-12,96492,6375,288,4
candidate1,1,7,measured,candidate,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9458,60643,288,4
candidate1,1,7,measured,candidate,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,634,959712,291,4
candidate1,1,7,measured,candidate,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5097868,308,4
candidate1,1,7,measured,baseline,BenchmarkGemmAMXGeneration/m32_k64_n32-12,260656,2375,272,4
candidate1,1,7,measured,baseline,BenchmarkGemmAMXGeneration/m64_k64_n64-12,94596,6526,272,4
candidate1,1,7,measured,baseline,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9669,60678,273,4
candidate1,1,7,measured,baseline,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,612,1042954,275,4
candidate1,1,7,measured,baseline,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5872615,292,4
candidate1,2,0,warmup,candidate,BenchmarkGemmAMXGeneration/m32_k64_n32-12,256132,2293,288,4
candidate1,2,0,warmup,candidate,BenchmarkGemmAMXGeneration/m64_k64_n64-12,93302,7109,288,4
candidate1,2,0,warmup,candidate,BenchmarkGemmAMXGeneration/m256_k256_n256-12,8931,62752,289,4
candidate1,2,0,warmup,candidate,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,571,1065957,306,4
candidate1,2,0,warmup,candidate,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5090794,307,4
candidate1,2,0,warmup,baseline,BenchmarkGemmAMXGeneration/m32_k64_n32-12,253977,2357,272,4
candidate1,2,0,warmup,baseline,BenchmarkGemmAMXGeneration/m64_k64_n64-12,94677,6387,272,4
candidate1,2,0,warmup,baseline,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9972,60768,273,4
candidate1,2,0,warmup,baseline,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,630,965045,283,4
candidate1,2,0,warmup,baseline,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,122,4867439,288,4
candidate1,2,1,measured,baseline,BenchmarkGemmAMXGeneration/m32_k64_n32-12,264439,2323,272,4
candidate1,2,1,measured,baseline,BenchmarkGemmAMXGeneration/m64_k64_n64-12,95875,6440,272,4
candidate1,2,1,measured,baseline,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9252,60967,273,4
candidate1,2,1,measured,baseline,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,620,1027136,288,4
candidate1,2,1,measured,baseline,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5028729,291,4
candidate1,2,1,measured,candidate,BenchmarkGemmAMXGeneration/m32_k64_n32-12,255882,2323,288,4
candidate1,2,1,measured,candidate,BenchmarkGemmAMXGeneration/m64_k64_n64-12,92247,6228,288,4
candidate1,2,1,measured,candidate,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9802,60806,289,4
candidate1,2,1,measured,candidate,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,628,979580,291,4
candidate1,2,1,measured,candidate,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5057938,308,4
candidate1,2,2,measured,candidate,BenchmarkGemmAMXGeneration/m32_k64_n32-12,255373,2341,288,4
candidate1,2,2,measured,candidate,BenchmarkGemmAMXGeneration/m64_k64_n64-12,94684,6293,288,4
candidate1,2,2,measured,candidate,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9589,60920,289,4
candidate1,2,2,measured,candidate,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,613,934965,291,4
candidate1,2,2,measured,candidate,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5842508,307,4
candidate1,2,2,measured,baseline,BenchmarkGemmAMXGeneration/m32_k64_n32-12,263948,2354,272,4
candidate1,2,2,measured,baseline,BenchmarkGemmAMXGeneration/m64_k64_n64-12,78079,7924,272,4
candidate1,2,2,measured,baseline,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9061,62877,273,4
candidate1,2,2,measured,baseline,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,578,1074217,284,4
candidate1,2,2,measured,baseline,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5756693,291,4
candidate1,2,3,measured,baseline,BenchmarkGemmAMXGeneration/m32_k64_n32-12,261324,2288,272,4
candidate1,2,3,measured,baseline,BenchmarkGemmAMXGeneration/m64_k64_n64-12,95661,6403,272,4
candidate1,2,3,measured,baseline,BenchmarkGemmAMXGeneration/m256_k256_n256-12,9447,61197,272,4
candidate1,2,3,measured,baseline,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,609,967246,275,4
candidate1,2,3,measured,baseline,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,100,5607820,294,4
candidate1,2,3,measured,candidate,BenchmarkGemmAMXGeneration/m32_k64_n32-12,264658,2326,288,4
candidate1,2,3,measured,candidate,BenchmarkGemmAMXGeneration/m64_k64_n64-12,95920,6386,288,4
candidate1,2,3,measured,candidate,BenchmarkGemmAMXGeneration/m256_k256_n256-12,10000,61738,289,4
candidate1,2,3,measured,candidate,BenchmarkGemmAMXGeneration/m1024_k1024_n1024-12,618,941099,291,4
candidate1,2,3,measured,candidate,BenchmarkGemmAMXGeneration/m512_k2048_n4096-12,122,4837386,305,4
