BenchmarkDotIQ1SPaths-12 	  120081	      4991 ns/op	3282.55 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ1SPaths/N64_K1024-12  	    7581	     79255 ns/op	3307.61 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ1SPaths/N4096_K1024-12         	     584	    963215 ns/op	17417.94 MB/s	   17809 B/op	      29 allocs/op
BenchmarkDotIQ1SPaths-12 	  119934	      4983 ns/op	3288.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ1SPaths/N64_K1024-12  	    7778	     78688 ns/op	3331.42 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ1SPaths/N4096_K1024-12         	     645	    931613 ns/op	18008.78 MB/s	   17414 B/op	      29 allocs/op
BenchmarkDotIQ1SPaths-12 	  119973	      5000 ns/op	3276.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ1SPaths/N64_K1024-12  	    7576	     79110 ns/op	3313.65 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ1SPaths/N4096_K1024-12         	     651	    920969 ns/op	18216.93 MB/s	   17820 B/op	      29 allocs/op
BenchmarkDotIQ1SPaths-12 	  120360	      4984 ns/op	3287.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ1SPaths/N64_K1024-12  	    7794	     79123 ns/op	3313.12 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ1SPaths/N4096_K1024-12         	     454	   1538252 ns/op	10906.67 MB/s	   17408 B/op	      29 allocs/op
BenchmarkDotIQ1SPaths-12 	  119876	      5114 ns/op	3203.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ1SPaths/N64_K1024-12  	    7018	     87377 ns/op	3000.14 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ1SPaths/N4096_K1024-12         	     436	   1541822 ns/op	10881.42 MB/s	   17941 B/op	      30 allocs/op
BenchmarkDotIQ1SPaths-12 	  112342	      5641 ns/op	2904.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ1SPaths/N64_K1024-12  	    7561	     88502 ns/op	2962.02 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ1SPaths/N4096_K1024-12         	     201	   2819242 ns/op	5950.97 MB/s	   17431 B/op	      29 allocs/op
BenchmarkDotIQ1SPaths-12 	  112952	      5253 ns/op	3119.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ1SPaths/N64_K1024-12  	    7818	     92080 ns/op	2846.92 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ1SPaths/N4096_K1024-12         	     504	   2147335 ns/op	7813.04 MB/s	   17893 B/op	      29 allocs/op
BenchmarkDotIQ1SPaths-12 	  118404	      5414 ns/op	3026.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ1SPaths/N64_K1024-12  	    6951	     89884 ns/op	2916.46 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ1SPaths/N4096_K1024-12         	     679	   1829974 ns/op	9168.01 MB/s	   17467 B/op	      29 allocs/op
BenchmarkDotIQ1SPaths-12 	  120232	      6498 ns/op	2521.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ1SPaths/N64_K1024-12  	    7454	    113520 ns/op	2309.23 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ1SPaths/N4096_K1024-12         	     135	   3917269 ns/op	4282.89 MB/s	   18765 B/op	      31 allocs/op
BenchmarkDotIQ1SPaths-12 	  114040	      6135 ns/op	2670.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ1SPaths/N64_K1024-12  	    7560	    119185 ns/op	2199.48 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ1SPaths/N4096_K1024-12         	     266	   2680690 ns/op	6258.54 MB/s	   17409 B/op	      29 allocs/op
