BenchmarkDotIQ1SPaths-12   	  955204	       632.2 ns/op	25917.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ1SPaths/N64_K1024-12    	   56930	     10543 ns/op	24864.94 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ1SPaths/N4096_K1024-12           	    2828	    213698 ns/op	78508.98 MB/s	   17419 B/op	      29 allocs/op
BenchmarkDotIQ1SPaths-12   	  955566	       630.2 ns/op	25998.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ1SPaths/N64_K1024-12    	   57693	     10425 ns/op	25144.83 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ1SPaths/N4096_K1024-12  	    2875	    204896 ns/op	81881.74 MB/s	   17504 B/op	      29 allocs/op
BenchmarkDotIQ1SPaths-12   	  972355	       629.2 ns/op	26039.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ1SPaths/N64_K1024-12    	   57278	     10433 ns/op	25127.12 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ1SPaths/N4096_K1024-12           	    2906	    206108 ns/op	81400.31 MB/s	   17409 B/op	      29 allocs/op
BenchmarkDotIQ1SPaths-12   	  949648	       629.9 ns/op	26009.14 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ1SPaths/N64_K1024-12    	   57028	     10472 ns/op	25033.70 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ1SPaths/N4096_K1024-12  	    1790	    293621 ns/op	57139.00 MB/s	   17552 B/op	      29 allocs/op
BenchmarkDotIQ1SPaths-12   	  915384	       677.3 ns/op	24190.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ1SPaths/N64_K1024-12    	   47683	     12020 ns/op	21809.61 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ1SPaths/N4096_K1024-12           	    2632	    285513 ns/op	58761.71 MB/s	   17421 B/op	      29 allocs/op
BenchmarkDotIQ1SPaths-12   	  948966	       719.7 ns/op	22764.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ1SPaths/N64_K1024-12    	   53616	     11653 ns/op	22496.38 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ1SPaths/N4096_K1024-12  	    1480	    355900 ns/op	47140.20 MB/s	   17578 B/op	      29 allocs/op
BenchmarkDotIQ1SPaths-12   	  946944	       937.5 ns/op	17475.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ1SPaths/N64_K1024-12    	   43987	     11884 ns/op	22058.86 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ1SPaths/N4096_K1024-12           	    2875	    532052 ns/op	31533.06 MB/s	   17412 B/op	      29 allocs/op
BenchmarkDotIQ1SPaths-12   	  897968	       834.3 ns/op	19638.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ1SPaths/N64_K1024-12    	   52687	     12655 ns/op	20713.96 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ1SPaths/N4096_K1024-12  	    1322	    547080 ns/op	30666.83 MB/s	   17598 B/op	      29 allocs/op
BenchmarkDotIQ1SPaths-12   	  942852	       660.9 ns/op	24791.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ1SPaths/N64_K1024-12    	   56510	     10883 ns/op	24086.78 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ1SPaths/N4096_K1024-12           	    2581	    371650 ns/op	45142.55 MB/s	   17438 B/op	      29 allocs/op
BenchmarkDotIQ1SPaths-12   	  829266	       682.7 ns/op	23998.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkQMatMulIQ1SPaths/N64_K1024-12    	   47649	     12324 ns/op	21271.63 MB/s	     592 B/op	       4 allocs/op
BenchmarkQMatMulIQ1SPaths/N4096_K1024-12  	    1832	    306692 ns/op	54703.73 MB/s	   17542 B/op	      29 allocs/op
