goos: darwin
goarch: arm64
pkg: github.com/jxsl13/goai/format/gguf
cpu: Apple M2 Pro
BenchmarkDotQ6KAsm-12          	  628276	       463.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkQMatMulQ6KPaths/N4096_K1024/neon-12  	    2156	    119931 ns/op	139890.40 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulQ6KPaths/N4096_K1024/neon-12  	    2104	    119786 ns/op	140060.25 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulQ6KPaths/N4096_K1024/neon-12  	    2157	    119594 ns/op	140284.52 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulQ6KPaths/N4096_K1024/neon-12  	    2144	    117135 ns/op	143229.21 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulQ6KPaths/N4096_K1024/neon-12  	    2178	    116561 ns/op	143934.80 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulQ6KPaths/N4096_K1024/scalar-12         	     409	    710689 ns/op	23606.96 MB/s	   17420 B/op	      29 allocs/op
BenchmarkQMatMulQ6KPaths/N4096_K1024/scalar-12         	     402	    707637 ns/op	23708.79 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulQ6KPaths/N4096_K1024/scalar-12         	     403	    706343 ns/op	23752.24 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulQ6KPaths/N4096_K1024/scalar-12         	     405	    709048 ns/op	23661.60 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulQ6KPaths/N4096_K1024/scalar-12         	     394	    719718 ns/op	23310.83 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulQ6KPaths/N4096_K1024/scalar-12         	     396	    725588 ns/op	23122.23 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulQ6KPaths/N4096_K1024/scalar-12         	     394	    729000 ns/op	23014.03 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulQ6KPaths/N4096_K1024/scalar-12         	     404	    710096 ns/op	23626.67 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulQ6KPaths/N4096_K1024/scalar-12         	     404	    706358 ns/op	23751.72 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulQ6KPaths/N4096_K1024/scalar-12         	     399	    704912 ns/op	23800.43 MB/s	   17408 B/op	      29 allocs/op
BenchmarkQMatMulQ6KPaths/N4096_K1024/scalar-12         	     403	    724232 ns/op	23165.52 MB/s	   17408 B/op	      29 allocs/op
PASS

