pair	f32_n64_control	f32_n64_candidate	f32_n65536_control	f32_n65536_candidate	f64_n64_control	f64_n64_candidate	f64_n65536_control	f64_n65536_candidate
1	222.7	187.8	2739	2688	251.9	319.6	5610	5759
2	345.0	210.3	3054	3313	279.5	302.0	7413	5234
3	333.3	217.2	2872	2997	350.9	209.9	5295	4855
4	331.0	196.8	2953	2718	249.2	192.5	5098	5263
5	259.6	227.8	3059	2807	260.4	244.9	4871	6056
6	327.7	213.2	3139	3173	335.9	285.3	6129	5344
7	277.1	311.4	2985	3164	415.1	429.0	5562	5345
8	259.9	197.5	3136	2662	356.8	262.0	5259	5319
9	225.2	240.7	2794	2899	531.9	292.8	5144	5567
