campaign,procs,benchmark,class,old_ns,new_ns,speedup,p_time,faster_pairs,old_bytes,new_bytes,p_bytes,old_allocs,new_allocs,p_allocs,target_pass,control_time_regression,bytes_increase,allocs_increase
3,1,BenchmarkVGELUF64NeonBoundary/leaf/backward/mixed/n262144,leaf-diagnostic,7416539.0,2853644.0,2.5989713503155967,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
3,1,BenchmarkVGELUF64NeonBoundary/leaf/forward/active/n2048,control,8894.0,15017.0,0.59226210294999,0.0005827505827505828,0,0,0,1.0,0,0,1.0,false,true,false,false
3,1,BenchmarkVGELUF64NeonBoundary/leaf/forward/active/n262144,leaf-diagnostic,2594325.0,1927854.0,1.3457061582464231,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
3,1,BenchmarkVGELUF64NeonBoundary/leaf/forward/mixed/n2048,control,28926.0,15018.0,1.9260886935677188,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
3,1,BenchmarkVGELUF64NeonBoundary/leaf/forward/mixed/n262144,leaf-diagnostic,5475198.0,1925201.0,2.843961747370794,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
3,12,BenchmarkSiLUBackwardF64_256K_cpu,control,269092.0,270588.0,0.9944712995402605,0.7103729603729604,3,4194702,4194694,0.12296037296037296,7,7,1.0,false,false,false,false
3,12,BenchmarkSigmoidF64_64K_cpu,control,101495.0,106097.0,0.9566245982450022,0.534965034965035,2,524613,524615,0.014568764568764568,6,6,1.0,false,false,true,false
3,12,BenchmarkSoftplusF64_256K_cpu,control,282418.0,281239.0,1.0041921639601905,0.4557109557109557,5,2097486,2097482,0.10256410256410256,6,6,1.0,false,false,false,false
3,12,BenchmarkVGELUF64NeonBoundary/execute/backward/active/n2048,control,29479.0,23537.0,1.2524535837192505,0.0005827505827505828,7,16712,16696,0.0005827505827505828,5,5,1.0,false,false,false,false
3,12,BenchmarkVGELUF64NeonBoundary/execute/backward/active/n262144,target,760110.0,537951.0,1.4129725569800966,0.0005827505827505828,7,2097520,2097500,0.0005827505827505828,6,6,1.0,true,false,false,false
3,12,BenchmarkVGELUF64NeonBoundary/execute/backward/mixed/n2048,control,49834.0,23585.0,2.1129531481874073,0.0005827505827505828,7,16712,16696,0.0005827505827505828,5,5,1.0,false,false,false,false
3,12,BenchmarkVGELUF64NeonBoundary/execute/backward/mixed/n262144,target,1196850.0,534196.0,2.24046979011449,0.0005827505827505828,7,2097513,2097498,0.0005827505827505828,6,6,1.0,true,false,false,false
3,12,BenchmarkVGELUF64NeonBoundary/execute/forward/active/n2048,control,9229.0,16303.0,0.5660921302827701,0.0005827505827505828,0,16680,16680,1.0,5,5,1.0,false,true,false,false
3,12,BenchmarkVGELUF64NeonBoundary/execute/forward/active/n262144,target,526753.0,415772.0,1.2669275468285504,0.0005827505827505828,7,2097495,2097490,0.0337995337995338,6,6,1.0,true,false,false,false
3,12,BenchmarkVGELUF64NeonBoundary/execute/forward/mixed/n2048,control,30175.0,16292.0,1.8521360176773878,0.0005827505827505828,7,16680,16680,1.0,5,5,1.0,false,false,false,false
3,12,BenchmarkVGELUF64NeonBoundary/execute/forward/mixed/n262144,target,945329.0,419542.0,2.2532404383828077,0.0005827505827505828,7,2097485,2097480,0.01048951048951049,6,6,1.0,true,false,false,false
3,12,BenchmarkVGELUF64NeonBoundary/leaf/backward/active/n2048,control,28429.0,22211.0,1.2799513754445995,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
3,12,BenchmarkVGELUF64NeonBoundary/leaf/backward/active/n262144,leaf-diagnostic,3973447.0,2858639.0,1.3899785877125443,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
3,12,BenchmarkVGELUF64NeonBoundary/leaf/backward/mixed/n2048,control,48775.0,22198.0,2.197270024326516,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
3,12,BenchmarkVGELUF64NeonBoundary/leaf/backward/mixed/n262144,leaf-diagnostic,7479756.0,2860986.0,2.614397973286133,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
3,12,BenchmarkVGELUF64NeonBoundary/leaf/forward/active/n2048,control,9343.0,15031.0,0.6215820637349477,0.0005827505827505828,0,0,0,1.0,0,0,1.0,false,true,false,false
3,12,BenchmarkVGELUF64NeonBoundary/leaf/forward/active/n262144,leaf-diagnostic,2600771.0,1924445.0,1.3514395059354776,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
3,12,BenchmarkVGELUF64NeonBoundary/leaf/forward/mixed/n2048,control,28964.0,15012.0,1.9293898214761525,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
3,12,BenchmarkVGELUF64NeonBoundary/leaf/forward/mixed/n262144,leaf-diagnostic,5468066.0,1926344.0,2.838571926924786,0.0005827505827505828,7,0,0,1.0,0,0,1.0,false,false,false,false
