campaign	format	shape	coop_gpu_x	coop_wall_x	resident_cpu_x	control_x	direct_host_cpu_x
1	IQ2_XS	down	14.6400	13.3300	3.3970	1.0010	0.9927
1	IQ2_XS	gate	5.6590	5.2430	3.5140	1.0010	0.9949
1	IQ2_XS	kv	20.7600	12.5100	3.0430	1.0020	0.3394
1	IQ2_XS	square	14.1000	11.4000	3.1870	1.0010	0.6424
1	IQ2_XXS	down	13.8800	12.6000	3.0840	1.0000	0.9222
1	IQ2_XXS	gate	5.1640	4.0970	2.6730	1.0010	0.9396
1	IQ2_XXS	kv	17.4300	5.3240	1.3680	1.0040	0.2824
1	IQ2_XXS	square	12.7400	7.3800	2.2720	1.0020	0.5878
2	IQ2_XS	down	14.6300	13.5000	3.5120	1.0000	1.1630
2	IQ2_XS	gate	5.6470	4.4760	2.6640	1.0010	1.0590
2	IQ2_XS	kv	20.6500	12.6500	2.9680	1.0030	0.3268
2	IQ2_XS	square	14.1100	11.5800	3.2370	1.0020	0.6727
2	IQ2_XXS	down	13.8400	12.5500	3.4480	1.0010	0.9673
2	IQ2_XXS	gate	5.1730	4.0090	2.9880	1.0010	0.9842
2	IQ2_XXS	kv	17.5600	5.3920	1.4180	1.0050	0.2864
2	IQ2_XXS	square	12.7700	7.4230	2.1400	1.0010	0.6292
3	IQ2_XS	down	14.6200	13.4100	3.4930	1.0010	0.7803
3	IQ2_XS	gate	5.6560	4.5970	3.2690	1.0020	0.6674
3	IQ2_XS	kv	20.6400	12.7100	3.0080	1.0040	0.3003
3	IQ2_XS	square	14.1900	11.2500	3.2500	1.0020	0.5402
3	IQ2_XXS	down	13.8800	12.5500	3.3770	1.0000	0.8958
3	IQ2_XXS	gate	5.1800	4.0850	2.9320	1.0000	0.9237
3	IQ2_XXS	kv	15.4000	8.9110	1.9170	1.0070	0.2899
3	IQ2_XXS	square	12.7900	7.3850	2.2220	1.0020	0.5920
